======================================================================
RESULTS SUMMARY
======================================================================
File                       Algorithm                    Length    Time(s)
rat575.tsp                 funsearch                   8335.39     379.07
rat783.tsp                 nearest_neighbor           11255.07       0.00
rat783.tsp                 nn_multi_start             10844.86       0.01
rat783.tsp                 funsearch                  10840.75      61.78
rat99.tsp                  nearest_neighbor            1564.72       0.00
rat99.tsp                  nn_multi_start              1369.53       0.00
rat99.tsp                  funsearch                   1433.48     509.66
rd100.tsp                  nearest_neighbor            9941.16       0.00
rd100.tsp                  nn_multi_start              9427.33       0.00
rd100.tsp                  funsearch                   9310.94     436.52
rd400.tsp                  nearest_neighbor           19168.05       0.00
rd400.tsp                  nn_multi_start             18357.67       0.00
rd400.tsp                  funsearch                  19168.05     297.70
rl11849.tsp                nn_coords                1139495.91       0.09
rl1304.tsp                 nearest_neighbor          339797.47       0.00
rl1304.tsp                 nn_multi_start            311830.34       0.02
rl1304.tsp                 funsearch                 332006.83      87.71
rl1323.tsp                 nearest_neighbor          332094.97       0.00
rl1323.tsp                 nn_multi_start            317265.18       0.02
rl1323.tsp                 funsearch                 330903.20      90.14
rl1889.tsp                 nearest_neighbor          400684.64       0.00
rl1889.tsp                 nn_multi_start            384474.36       0.04
rl1889.tsp                 funsearch                 400684.64     299.52
rl5915.tsp                 nn_coords                 707498.63       0.02
rl5934.tsp                 nn_coords                 683806.00       0.02
st70.tsp                   nearest_neighbor             805.53       0.00
st70.tsp                   nn_multi_start               780.62       0.00
st70.tsp                   funsearch                    805.53     975.07
ts225.tsp                  nearest_neighbor          152493.55       0.00
ts225.tsp                  nn_multi_start            140796.91       0.00
ts225.tsp                  funsearch                 145470.35     428.29
tsp225.tsp                 nearest_neighbor            4829.00       0.00
tsp225.tsp                 nn_multi_start              4713.12       0.00
tsp225.tsp                 funsearch                   4829.00     477.83
u1060.tsp                  nearest_neighbor          296543.89       0.00
u1060.tsp                  nn_multi_start            282525.22       0.01
u1060.tsp                  funsearch                 289666.37      97.97
u1432.tsp                  nearest_neighbor          188815.01       0.00
u1432.tsp                  nn_multi_start            188387.17       0.02
u1432.tsp                  funsearch                 185267.13     136.09
u159.tsp                   nearest_neighbor           54669.03       0.00
u159.tsp                   nn_multi_start             51047.72       0.00
u159.tsp                   funsearch                  52205.46     743.08
u1817.tsp                  nearest_neighbor           71691.24       0.00
u1817.tsp                  nn_multi_start             68521.48       0.04
u1817.tsp                  funsearch                  69292.25     121.25
u2152.tsp                  nearest_neighbor           77042.48       0.00
u2319.tsp                  nearest_neighbor          278783.31       0.00
u574.tsp                   nearest_neighbor           46881.87       0.00
u574.tsp                   nn_multi_start             45491.67       0.00
u574.tsp                   funsearch                  46881.87     199.70
u724.tsp                   nearest_neighbor           52994.58       0.00
u724.tsp                   nn_multi_start             51059.83       0.01
u724.tsp                   funsearch                  52994.58     129.76
ulysses16.tsp              nearest_neighbor             104.73       0.00
ulysses16.tsp              nn_multi_start                77.13       0.00
ulysses16.tsp              funsearch                     88.72    1022.91
ulysses22.tsp              nearest_neighbor              89.64       0.00
ulysses22.tsp              nn_multi_start                86.91       0.00
ulysses22.tsp              funsearch                     89.64     209.60
usa13509.tsp               nn_coords               25047668.34       0.12
vm1084.tsp                 nearest_neighbor          301469.23       0.00
vm1084.tsp                 nn_multi_start            297897.87       0.01
vm1084.tsp                 funsearch                 301469.23      98.62
vm1748.tsp                 nearest_neighbor          408089.19       0.00
vm1748.tsp                 nn_multi_start            411650.79       0.04
vm1748.tsp                 funsearch                 408089.19      85.75
